Address,Data
0x0302B2AC,0x02760260
0x0302B2B0,0x02a1028b
0x0302B2B4,0x000002b7
0x0302B2B8,0x00190000
0x0302B2BC,0x004c0033
0x0302B2C0,0x007f0065
0x0302B2C4,0x00b10098
0x0302B2C8,0x00e400cb
0x0302B2CC,0x011700fd
0x0302B2D0,0x01490130
0x0302B2D4,0x017c0163
0x0302B2D8,0x01ae0195
0x0302B2DC,0x01e101c8
0x0302B2E0,0x021401fa
0x0302B2E4,0x0246022d
0x0302B2E8,0x02790260
0x0302B2EC,0x02ac0292
0x0302B2F0,0x02de02c5
0x0302B2F4,0x031102f8
0x0302B2F8,0x0000032a
0x0302B2FC,0x001d0000
0x0302B300,0x0056003a
0x0302B304,0x00900073
0x0302B308,0x00ca00ad
0x0302B30C,0x010300e6
0x0302B310,0x013d0120
0x0302B314,0x01760159
0x0302B318,0x01b00193
0x0302B31C,0x01e901cd
0x0302B320,0x02230206
0x0302B324,0x025d0240
0x0302B328,0x02960279
0x0302B32C,0x02d002b3
0x0302B330,0x030902ed
0x0302B334,0x03430326
0x0302B338,0x037c0360
0x0302B33C,0x00000399
0x0302B340,0x00210000
0x0302B344,0x00620041
0x0302B348,0x00a40083
0x0302B34C,0x00e500c4
0x0302B350,0x01260106
0x0302B354,0x01680147
0x0302B358,0x01a90188
0x0302B35C,0x01eb01ca
0x0302B360,0x022c020b
0x0302B364,0x026d024d
0x0302B368,0x02af028e
0x0302B36C,0x02f002cf
0x0302B370,0x03320311
0x0302B374,0x03730352
0x0302B378,0x03b40394
0x0302B37C,0x03f603d5
0x0302B380,0x00000416
0x0302B384,0x0a0a0a00
0x0302B388,0x0a1e0a14
0x0302B38C,0x00000000
0x0302B390,0x00080000
0x0302B394,0x0002aaab
0x0302B398,0x00020000
0x0302B39C,0x00020000
0x0302B3A0,0x00020000
0x0302B3A4,0x00010000
0x0302B3A8,0x00010000
0x0302B3AC,0x00008000
0x0302B3B0,0x00008000
0x0302B3B4,0x00003f81
0x0302B3B8,0x00004081
0x0302B3BC,0x00003f04
0x0302B3C0,0x00004000
0x0302B3C4,0x00005474
0x0302B3C8,0x00005555
0x0302B3CC,0x00008fb8
0x0302B3D0,0x00000000
0x0302B3D4,0x00000000
0x0302B3D8,0x00000000
0x0302B3DC,0x00000000
0x0302B3E0,0x00000000
0x0302B3E4,0x00000000
0x0302B3E8,0x00000000
0x0302B3EC,0x00000000
0x0302B3F0,0x00000000
0x0302B3F4,0x00000000
