Address,Data
0x0302B258,0x017F016D
0x0302B25C,0x01A40192
0x0302B260,0x01C801B6
0x0302B264,0x01ED01DB
0x0302B268,0x021101FF
0x0302B26C,0x02360224
0x0302B270,0x00000248
0x0302B274,0x00160000
0x0302B278,0x0041002B
0x0302B27C,0x006D0057
0x0302B280,0x00980082
0x0302B284,0x00C300AE
0x0302B288,0x00EF00D9
0x0302B28C,0x011A0105
0x0302B290,0x01460130
0x0302B294,0x0171015B
0x0302B298,0x019D0187
0x0302B29C,0x01C801B2
0x0302B2A0,0x01F301DE
0x0302B2A4,0x021F0209
0x0302B2A8,0x024A0235
0x0302B2AC,0x02760260
0x0302B2B0,0x02A1028B
0x0302B2B4,0x000002B7
0x0302B2B8,0x00190000
0x0302B2BC,0x004C0033
0x0302B2C0,0x007F0065
0x0302B2C4,0x00B10098
0x0302B2C8,0x00E400CB
0x0302B2CC,0x011700FD
0x0302B2D0,0x01490130
0x0302B2D4,0x017C0163
0x0302B2D8,0x01AE0195
0x0302B2DC,0x01E101C8
0x0302B2E0,0x021401FA
0x0302B2E4,0x0246022D
0x0302B2E8,0x02790260
0x0302B2EC,0x02AC0292
0x0302B2F0,0x02DE02C5
0x0302B2F4,0x031102F8
0x0302B2F8,0x0000032A
0x0302B2FC,0x001D0000
0x0302B300,0x0056003A
0x0302B304,0x00900073
0x0302B308,0x00CA00AD
0x0302B30C,0x010300E6
0x0302B310,0x013D0120
0x0302B314,0x01760159
0x0302B318,0x01B00193
0x0302B31C,0x01E901CD
0x0302B320,0x02230206
0x0302B324,0x025D0240
0x0302B328,0x02960279
0x0302B32C,0x02D002B3
0x0302B330,0x030902ED
0x0302B334,0x03430326
0x0302B338,0x037C0360
0x0302B33C,0x00000399
0x0302B340,0x00210000
0x0302B344,0x00620041
0x0302B348,0x00A40083
0x0302B34C,0x00E500C4
0x0302B350,0x01260106
0x0302B354,0x01680147
0x0302B358,0x01A90188
0x0302B35C,0x01EB01CA
0x0302B360,0x022C020B
0x0302B364,0x026D024D
0x0302B368,0x02AF028E
0x0302B36C,0x02F002CF
0x0302B370,0x03320311
0x0302B374,0x03730352
0x0302B378,0x03B40394
0x0302B37C,0x03F603D5
0x0302B380,0x00000416
0x0302B384,0x0A0A0A00
0x0302B388,0x0A1E0A14
0x0302B38C,0x00000000
0x0302B390,0x00008000
0x0302B394,0x00008000
0x0302B398,0x00008000
0x0302B39C,0x00008000
0x0302B3A0,0x00008000
0x0302B3A4,0x00008000
0x0302B3A8,0x00008000
0x0302B3AC,0x00008000
0x0302B3B0,0x00008208
0x0302B3B4,0x00008000
0x0302B3B8,0x00008000
0x0302B3BC,0x00008000
0x0302B3C0,0x00008000
0x0302B3C4,0x00008000
0x0302B3C8,0x00008000
0x0302B3CC,0x00008000
0x0302B3D0,0x00000000
0x0302B3D4,0x00000000
0x0302B3D8,0x00000000
0x0302B3DC,0x00000000
0x0302B3E0,0x00000000
0x0302B3E4,0x00000000
0x0302B3E8,0x00000000
0x0302B3EC,0x00000000
0x0302B3F0,0x00000000
